author,first 3-gram,second 3-gram,third 3-gram,fourth 3-gram,fifth 3-gram
dgrammatiko,merge pull request,merge branch master,merge branch master,,
tkimia,fix issue where,make rubocop happy,fix failing test,fix stylelint issues,merge pull request
Mostafa-ashraf19,remove file,,,,
jonathantorres,changes on queue,,,,
sorawee,fix behavior of,,,,
masahide,change release actions,fix,add,,
xSkullxNinja,separating the shield,,,,
erobertsdev,installed node,,,,
asottile,fix ci flake8,,,,
LJNeon,bump dependencies,improved esm support,create tostring functions,improved esm support,
BlackHacker511,update readme md,,,,
roblevintennis,stronger types for,stronger types for,merge remote tracking,,
rparramolina,defectos en tabla,,,,
akeahey,changing to just,fixing svg path,fixing text details,add files via,
yeet648,update net version,use msbuild,,,
ahmaazouzi,flexed,,,,
enterstudio,fix package json,,,,
czhu2018,rollback version of,,,,
test987987,adding timestamp file,adding timestamp file,adding timestamp file,adding timestamp file,
danielfromitaly,web development,,,,
gamesbykevin,commit by robot,,,,
jerry3904,update mx idesktool,,,,
netdatabot,package amd64 deb,package i386 deb,package amd64 rpm,package i386 rpm,
gluxon,bump travis ci,,,,
Alexandre-T,ensure shutdown,removing symfony 4,using symfony flex,,
pennyan,updated,,,,
Vertabreak,gtm32 fix,,,,
sougou,tests fix panic,merge pull request,,,
MadelinePrins,fixing mqtt graphic,,,,
vvr-rao,update readme md,,,,
tonypdmtr,asm8 macro assembler,asm8 macro assembler,,,
ngonzo95,enabled the cors,,,,
3141592654,split make code,removed retval2 from,,,
chriswmackey,removing australia videos,,,,
emilte,cmon,,,,
Lukas34,added package metadata,merge branch master,,,
codefooo,,,,,
tommy605,gas commit 12,git cloneshare commit,gas commit 12,git cloneshare commit,git cloneshare commit
jaydonhashimoto,created basic login,,,,
pglen,added text to,,,,
jnm2,skip creation of,netstandard targets do,enable targets to,enable targets to,enable targets to
microcai,app misc nixnote,baidupcs go and,fix 553,,
caiobarretta,compartilhando recursos,collection fixtures,,,
isaiahnixon,updates,,,,
dheerajk345,updated index file,,,,
DavidBasarab,fixed for pack,fixed version,,,
houbinbin2,log,log,log,log,log
flaatpixels,chore add to,,,,
anvaka,updated colors,,,,
Coolghostgamer05,first commit,second commit,,,
deniseschannon,update crb and,change the etcd,merge pull request,,
jpickell,initial commit for,updated path variable,,,
sharkeydavid,logo,update index js,,,
hwxjinghuijuan,log,log,log,log,log
Dante19980224,planning to fix,gonna postpone this,,,
phelps-matthew,saved by tiddlywiki,,,,
browneo,mission to mars,,,,
stevenmburns,added a couple,,,,
DanielJEgan,corrected header comments,corrected version,,,
SousanCCloud,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit
bchoi12,asdf,,,,
NDjust,add greedy 11399,runtime array memory,,,
MrSloth13,okay so there,,,,
cykbennie,update index md,set theme jekyll,,,
tacotaco2,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit
wakaba,updated by anon,,,,
mkellsy,fix plugin alias,,,,
TNThacker2015,e,arrested spaghetti,removed some mustard,,
eodccloud,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit
goyanx,update readme md,,,,
dani0001414,01 january 2020,01 january 2020,,,
kilobyte,manpage fix being,,,,
sc0tt5,accordion component to,cleanup,,,
rubber-duckie-au,update yaamp php,added config for,added xdn,add files via,added bmw512
supertester00,gas commit 12,git cloneshare commit,git cloneshare commit,gas commit 12,git cloneshare commit
amakligo,update,,,,
mengyuan29,from github for,,,,
ezuccarelli,implement stochastic gb,,,,
jjblues86,general layout is,merge branch master,stopping point,lined up h1,merge pull request
geos4s,add sgroup07 metar_edhi,add sgroup07 metar,add sgroup07 metar_eddn,add sgroup03 metar_europe,add sgroup07 metar_eddp
EtivenKodi,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit
DoubleCouponDay,refactor removed unnecessary,,,,
jimboca,2 2 5,,,,
stelar7,replace syso with,,,,
Johndeer123,add files via,add files via,add files via,,
Bunny67,fix 679,,,,
galaxywormhole,gas commit 12,,,,
supershell2019,thank you,thank you,thank you,thank you,thank you
MultichartsScannerDataChecker,update black list,,,,
liesauer,update,update,update,update website,
ramenfud,i have no,,,,
david-cohen,,merge branch master,,merge branch master,
wendychiang,refactor serialier return,refactor serializer return,,,
supermobiteam2,tizi ios,tizi ios,tizi ios,tizi ios,tizi ios
eao5xc,finalized datalogger,,,,
thijs852,data commit,,,,
llopez0814,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit
ericyueyi,enable sorting of,add frontend boilerplate,add dummy api,add settings required,add request class
morrah,data update,data update,data update,,
gsandhucando,small css changes,css,pic change props,,
scriptzteam,update,update,update,,
victorfconti,name improvmente,,,,
AlaaMoussawi,adding notebook for,,,,
HenrikBengtsson,node status updates,status updated figures,,,
min-game,wed jan 1,,,,
aaronpk,logs as of,,,,
mococowboy,improved generation of,,,,
gugod,,,,,
thomasyu888,add test for,add in doc,,,
bluerob45,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit
rq1h55,08 45 01p,,,,
wilsson,docs readme add,feat svg add,feat add command,v1 3 0,
sunbinbin1991,update readme,,,,
liren2515,update home_new html,update home_new html,update home_new html,update home_new html,
gitavenue5,2020 01 01,,,,
jjn1056,docs updates and,,,,
jonarbo,dalma load updated,,,,
kodiccloud100,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit,git cloneshare commit
jdebacker,test boolean params,,,,
MlgmXyysd,mlgmxyysd github update,mlgmxyysd github update,mlgmxyysd github update,,
fh-automatron,add rhsso to,,,,
snoopycrimecop,merge master dorg,merge master dorg,merge master dorg,merge master dorg,merge master dorg
Helmasaur,readme update typographic,error code returned,,,
xanderflood,added an api,merge pull request,,,
glinton,initialize plugins bucket,,,,
GoSeungUks,bossdb,bossdb,,,
codeyarns,update,update,,,
HomoEfficio,create git 여러,update and rename,update git 여러,,
ytsqkl,update index html,update index html,,,
enosysau,wed jan 1,,,,
jpace121,undo domain forwarding,add cname again,,,
GreatGitWall,update,update,update,,
mattcarlotta,add jsdoc,add jsdoc,,,
sangsucki,update 2019 12,,,,
jonsterling,split semantic domain,changing grammar to,foo,bar,
jetzlstorfer,added resources,added resources,added resources,added resources,added resources
disksing,update activity,,,,
beyondtracks-bot,autocommit,autocommit,autocommit,,
aroller,master trying out,master bad bash,master git checkout,,
lesv,chore deps update,chore deps update,merge branch master,,
adon0420023,git cloneshare commit,git cloneshare commit,git cloneshare commit,gas commit 12,git cloneshare commit
trivikr,chore remove legacy,,,,
dboyd42,rm main fns,,,,
brookcui,google 130 surrounded,google 769 max,,,
SummerLife,update linux md,,,,
Istiyaq123,done,,,,
wfz8023,first commit,add gitignore,,,
sbraigen,automatically backed up,automatically backed up,,,
CAM-Gerlach,synchronized build,synchronized build,,,
Dimbreath-Server,cn 19 12,,,,
srinidhiPY,update index html,update index html,update index html,,
kamadas,update my databases,,,,
Conatrad,rock paper scissors,updated readme md,,,
colehollant,docs progress,logs lmao,,,
Frontear,change the contract,create an impl,rename getauthors to,,
motikan2010-bot,auto update 2020,,,,
maloymanna,update readme test,update talks test,test w o,,
dotnet-maestro[bot],update dependencies from,,,,
anouarbensaad,add places and,,,,
fernando-mc,new book to,,,,
GSMcNamara,update readme md,,,,
h1-the-swan,class autoreviewanalysis to,,,,
obiyankenobi,fix stratum invalid,,,,
stepanov-a,верстка смарт контрактов,,,,
xywang84,autoupdate,,,,
jick155,fix aoi and,,,,
renovate-bot,chore deps update,chore deps update,chore deps update,chore deps update,chore deps update
ben0bi,show project from,,,,
newstools,created text for,created text for,created text for,created text for,created text for
hegaajarad,create pbx php,,,,
bunchley,fixed delete button,,,,
roclar,added return of,,,,
veganinthestreets,update mushroom jerky,merge pull request,merge pull request,update mushroom jerky,update mushroom jerky
direwolf-github,direwolf commit,direwolf commit,direwolf commit,direwolf commit,direwolf commit
cdcasey,new feed,package updates,,,
ayyghost,remove faulty max_room_desc,,,,
nlog2n2,create ssid password,create saving qrcode,writed tmp code,,
gfw-breaker,同步于 1月1日8时45分,同步于 1月1日8时52分,同步于 1月1日8时56分,,
n15g,update newsman ts,update repairman ts,update bloody hands,update resistance member,update loyalist ts
twotonerebel3,day1 complete,merge branch master,,,
MarcLignarius,add code to,remove commented code,add bootstrap spacing,,
fosterferret,changed font color,fixed font size,,,
bbaassssiiee,maven repository,requirements yml,updates,,
gfduszynski,bug fix,version bump,,,
loveyunye,new year,组件渲染功能完善,no message,,
AdetunjiShennaike,leetcode,,,,
adash333,modify gitignore for,,,,
sudoix,add glance installation,edit glance installation,edit glance installation,update readme md,
JarredParrettDickinson,message,mm,m,change,
juanbecerra0,updated resume section,,,,
jermylucas,working through course,update readme md,,,
Deadpikle,show transparent color,,,,
jarrodmillman,improve test coverage,,,,
Jean-Sim,update readme md,,,,
mapr-devops,hadoop 10146 workaround,mapreduce 5672 provide,backported hadoop 10125,moving mr 5672,hdfs 5784 reserve
manwar,updated github commits,updated github commits,,,
AbdurrahmanSefer,create random,,,,
wraith13,メニューキャッシュがクリアされない事がある問題の修正,,,,
Tonio1987,clean code,,,,
alexw-gs,ci deployment from,,,,
Hyssopi,2,,,,
scoffin-dev,setting mastery levels,indicate current mastery,,,
Somfic,created new logo,update readme md,update readme md,,
wyldthing2,real initial commit,,,,
laiyenju,bump rack from,merge pull request,,,
mateo4martinez,looks good so,,,,
homebysix,add files via,add files via,update deepl filewave,delete deepl filewave,add files via
helixbass,condition,,,,
outofcoffee,improves documentation and,,,,
sajattack,create readme md,,,,
mertyildiran,add a pull,,,,
5HT,typo builsing building,,,,
Chazza,gitbook master 2,gitbook master one,gitbook master 2,gitbook master 2,gitbook master 3
Deep4569,contact and about,,,,
Xapphire13,move client styles,add menu,make remote url,update connection card,
Jian-99,0,0,0,0,0
spaperftest,5733 to 5734,5734 to 5735,5735 to 5736,,
neilprado,modificando relacionamento para,,,,
MichaelBelousov,first half of,completed untested base,,,
zeit-github-tester[bot],update index html,update index html,update index html,,
gliwka,bump jacoco maven,bump maven source,,,
KTibow,update pythonpackage yml,add report,add report,add report,update test_ffsend py
mransan,reset submodule,add bs ocaml,,,
92fueler,update 02 open,,,,
hax-mov,update index html,update index html,,,
robertchou91,update readme md,merge pull request,,,
PowershellScripts,update pullall ps1,,,,
sgoldenlab,update tutorial_dlc md,add files via,update tutorial_dlc md,,
Platinumwrist,code_of_conduct md,code_of_conduct md,,,
love4say,bossdb,bossdb,bossdb,bossdb,
aturon,add final prelude,prelude,,,
HappyTreeBeard,day 7,update file naming,update file name,update file name,
creativetorch,update html5 video,update readme md,,,
muppet9010,add remove groups,,,,
jbiakcin,added chess part_1,error handling funtime,added class inheritance,,
jz0001,started rendering search,able to render,,,
David98vc,add files via,,,,
catamphetamine,added inputstylereset property,2 5 2,,,
acsone-git-bot,remove web addons,fix website do,imp l10n_jp covering,fix web_editor revert,fix website do
jacquiemcb,update,,,,
maryhugithub,refactor common variables,,,,
cfk-scraper,lgeku outages 1,,,,
cmikstas,added handlebars pages,,,,
nsm91,unbroke again,,,,
Juniorrantila,update readme md,,,,
drMonro,правки,,,,
FlyOrBoom,change controls to,fix errors removed,long race branch,start screen finess,start screen animations
SDESkowronski,qa scripts 25,,,,
xjx3316,set theme jekyll,set theme jekyll,set theme jekyll,set theme jekyll,
Fredo182,cleanup model constructors,,,,
mezum,create cname,,,,
raulovallet,fix resolve test,fix expected indentation,fix missing readme,,
rnburn,s assert_death expect_death,add bracket operator,add test coverage,,
itzamnamx,adding a better,adding a better,adding variables for,,
bergjohan,add debug output,,,,
NurKeinNeid,revert msm8998 common,revert msm8998 common,revert msm8998 enable,,
RazielSystems,pdn mx s1,pdn mx s1,pdn mx s1,se ajustan valores,merge branch master
lboyd93,add info for,hindsight,merge pull request,add check for,merge pull request
laftho,subscription confirmation profile,,,,
Mohsenataei,exercise issue fixed,,,,
pakeji,commit january 01,commit january 01,commit january 01,commit january 01,commit january 01
bplok20010,类型添加,,,,
Jerry014a,learning modules and,,,,
bensaufley,update codeclimate coverage,update codeclimate coverage,,,
MehdiLechhab,typos in protfolio,,,,
csotomon,update readme md,update readme md,update readme md,,
simerplaha,129 java slice,129 java set,129 name stream,129 java set,129 memory zero
LuisFrag,create boardexception and,,,,
wmay,add 2019 2nd,fix wrong flag,,,
915fonzie,added id to,,,,
Thomasdezeeuw,add tests for,port tests for,check that udpsocket,port tests for,port tests for
simsland,bossdb,bossdb,,,
bcdevlucas,fix typo,,,,
97GHz,pptx add,,,,
james-cathcart,wip not receving,,,,
d3j331,fixed line ending,,,,
taichi-t,deployed,,,,
Danver98,added request inquiry,checking request object,,,
y-yagi,bump types node,merge pull request,,,
virtuald,black formatting changes,black formatting changes,fix ntproperty with,,
mweedman,update migrations,migrations updated,added login framework,,
christianadunn,changes to virtual,,,,
wadegguerin,update readme md,merge pull request,,,
ilovegadd,added 組織タイプにprojectを追加 プロジェクトメンバーリポジトリを追加,merge tag 1,added 組織タイプにprojectを追加 プロジェクトメンバーリポジトリを追加,release v1 3,merge branch release
philiplassen,latest updates to,,,,
SharkFinPro,update spacing single,single tab spacing,merge branch master,,
phiggins,add spellcheck task,fix spellcheck failures,add spellcheck for,fix spellcheck errors,
david8388,add set2 py,,,,
robertlong,don t use,,,,
CodyMathis123,update notes,,,,
ardnew,rename version class,initial port of,,,
matagus,wip,wip,,,
hououinkami,rename apiforhome ini,create apiforhome ini,,,
mariiapecherytsia1,reset and start,addtional changes to,,,
ejelome,replace theme with,replace theme with,replace theme with,replace theme with,replace theme with
guthb,added observable for,,,,
WittyScrap,made some commands,,,,
woodstock-erfurt,2020 01 01,,,,
aseventhimpossiblething,update communityupdatesprocess py,update communityupdatesprocess py,,,
CreamyGlue,apples and oranges,,,,
henryhu712,baidu,,,,
linzebing,add disqus,add ins,add disqus,add disqus,add ins
signcla-test-signed-indiv,new pr to,,,,
quantum9Innovation,i knew you,ok that last,,,
laurenfrederick,automated build in,,,,
damienliccia,v4,ajout réseaux sociaux,test article,,
JackHowa,delete everything,basic webpack react,build for webpack,use yarn for,merge pull request
TheHappyKoala,minor refactoring,,,,
jangruenwaldt,yes,,,,
dcep93,forgot arg,,,,
soonick,finish article about,,,,
bge-kernel-panic,element properties subroutine,element update fix,elements doc,attack effects,map doc and
sarkiroka,update with actual,,,,
mlwong,adding statistics,,,,
DreamLi1314,upgrade node,,,,
ken2057,missing,remove lxml,,,
profounddark,updated assignment,updated assignment expanded,,,
weich97,finish running cases,,,,
sbxlmdsl,revert corrected a,revert relaxed the,removed code for,,
anonoymousm,first commit,site updated 2020,,,
brandon242400,bump handlebars from,merge pull request,,,
akaban01,removed anymode,removed anymode,,,
ajaxx,nesper 8 0,cleaning up tests,removing test debug,removing unused imports,updated all projects
jacobatwork,updated log,updated log,,,
gecko-dev-updater,bug 409974 addresses,bug 413937 please,bug 423750 change,bug 426660 allow,bug 420416 artifacts
dhon2407,cooking checkpoint 4,,,,
wingtorres,delete test image,delete test image,delete test image,update paper figures,merge https github
TumsaUmata,perfect number,,,,
brminnick,added javascript config,updated signalrservice subscribe,,,
cgschu1tz,plugins were a,plugins were a,plugins were a,plugins were a,
jackzhang7,edited introductory post,merge pull request,,,
AngelFQC,lti allow multiple,lti allow multiple,,,
gilbert-p,add files via,,,,
HenrikBechmann,parameterize configuration data,,,,
ethanrusz,added alt tags,merge pull request,,,
colinking,remove dependency on,remove dependency on,remove dependency on,,
hugocas,my bad,,,,
yeG10,1 0,1 0,,,
Beanow,publishing to gh,,,,
dan0x09,update adapters to,,,,
pxpeterxu,add mocks for,,,,
jeffkowalski,add rubocop yml,add rubocop yml,add rubocop yml,add dry_run option,
zhangwenjie-tina,update omnibrowser_local_deployment_manual md,update omnibrowser_local_deployment_manual md,,,
gentoo-repo-qa-bot,app backup amanda,merge updates from,2020 01 01,,
adityamaddala,set up ci,,,,
gsalaz98,add test cases,,,,
omegga,refacto cli,merge pull request,add tests for,add tests for,merge pull request
JuliaManayra,classe funcionario,,,,
fbtwitter,update business,,,,
clangen,allow for transcoder,,,,
TheUncleKai,feat create framework,feat create framework,feat create framework,feat create framework,feat create framework
atav1k,copy edits,add img,add twitter meta,,
jofsky,updating files for,updating files for,,,
wang1kevin1,color changes working,colors and icons,roundtrip distance passed,,
m365462129,no message,,,,
MilkyVishra,2020 01 01,,,,
psandra1997,update index html,update index html,update index html,update index html,update index html
jimmyangel,method priorities,update priorities,add to menu,include svg file,update content
zw,scheduled refresh,,,,
PDanielY,added login capability,updated readme,,,
YehonatanHen,merge pull request,merge pull request,merge pull request,fix minutes add,merge pull request
marcel-goldschen-ohm,update basic_intro ipynb,create a visual,create eeg mat,create numpy ipynb,create numpy_broadcasting png
dominicskinner,update index html,update index html,merge pull request,,
szul,update readme md,,,,
randomjamart,new post,,,,
maelle,deploy from travis,,,,
jgallagher59701,edit to the,,,,
DentonWarnock,fixes to context,,,,
idvorkin,updating weight for,,,,
ChaimSh,automatically backed up,automatically backed up,automatically backed up,automatically backed up,automatically backed up
bmwiedemann,update 000release packages,update 2020 01,,,
leo60228,fix version,,,,
hhao1992,create cname,testing changes,,,
robertdavidwest,css class name,,,,
jeffpooley,upload new shortcut,update readme,fix readme,fix zenodo link,fix punctuation mistake
mzuniga58,fixed errors for,,,,
OPSTestProduction,create a file,update file e2e_docsbranch_prod_dynamic,modify article,e2e build pdf,delete file e2e_docsbranch_prod_dynamic
v-caxian,update,,,,
fargusplumdoodle,log_analytics retrieves information,now writes to,fixed bug added,script now waits,added additional documentation
cjgillot,cleanup check_pat,matchexpressionarmpattern use more,show scrutinee expr,matchexpressionarmpattern pattern current,move demand_eqtype_pat to
LeoCode0,cambio de nombre,cambio de nombre,añadiendo direcciones a,añadiendo direcciones a,
Rbon,removed an unneeded,better type sig,removed another unneeded,refactored splitfilename and,added a prop
bob-beck,when all cells,convert infinite msleep,drm mst fix,update to s,fix lib_depends for
kaihwang,job ads,,,,
mxmingya,create levelordertraversaldfs java,,,,
johangace,update the book,,,,
happybean,add entry point,,,,
Spacebird1313,update target broker,,,,
china0532,update openwrt ci,,,,
manuelespinosa,update readme md,,,,
haipe,版本号资源,,,,
Jack-alope,add files via,update index html,,,
dladowitz,add colon,,,,
KaptainWutax,improved structure data,,,,
SDGGiesbrecht,refreshed,refreshed,,,
khandgp1,first iteration of,,,,
gabesharpton,changed dev icon,good responsive for,,,
ieuanjones,add support for,minor fix to,,,
bcraig2612,finished section 6,updated the course,,,
geekwise-korey-nichols,bugfix changed max,update changes to,update changed serializers,removed pagination from,bugfix changed max
yfhuang7,uploaded index html,,,,
getsec,shit wrong branch,,,,
hww1996,添加新的member change的方法 43,merge branch master,修改外部接口,,
kylebjordahl,fix remove old,,,,
dclong,,,,,
SHRUTIKALOKHANDE,print the element,,,,
wpruiz,npm start listo,,,,
MKGitHub,update readme md,,,,
Damian30,update readme md,update readme md,update readme md,,
XurongChi,capture ip,capture ip,,,
Antimeuh2433,fixed weird thing,,,,
Trinsdar,mostly recipe stuff,moved pipes into,added 2 more,im back from,messing with layered
purerosefallen,move,,,,
mmniazi,update to new,update to new,,,
rileyjshaw,updates,updates,updates,,
zhagyilig,add 对象应用 可变性和垃圾回收,,,,
garythemann,nuget config file,cleartext password support,,,
Shamamat,update challenge 05,,,,
vshcherbyna,release igel 2,,,,
lorengordon,rename packages in,merge pull request,adds encrypted deploy,merge pull request,bumps version to
mkals,create cname,delete cname,create cname,,
fxnoob,whatsapp web cli,,,,
rutum,new post,new post,,,
seastian,my commit message,my commit message,,,
pra-kri,update ideasnotebook md,,,,
kaiorosa1,add tachyons,,,,
crazyhottommy,add umap tsne,,,,
joshcoales,fixing datetime checking,,,,
r4ndm,update readme md,,,,
lowjunen,found and fixed,,,,
Paul-Davis,added code to,merge branch master,,,
huahaiy,deployed 779fd04 with,,,,
iwilliamson,c64_cass xml update,fixes bug in,new working clones,merge pull request,merge remote tracking
dotDecay,build recipe build,,,,
xuestrange,update _config yml,update _config yml,update _config yml,,
tommaso-sebastianelli,added toast after,,,,
srinidhisrinivas,lol,,,,
angiechangpagne,scraping with node,,,,
jobhimain,gas commit 12,git cloneshare commit,git cloneshare commit,,
RohitGarudadri,add status page,merge branch develop,fixed login button,add status page,fixed login button
andresandrade12345,deploy changes to,,,,
congfandi,change nama project,,,,
tduplantis83,changed home page,added more random,merge pull request,,
EvanBacon,update package json,install ems,convert to typescript,fixup example,update package json
ColeEwert,full barns history,,,,
marichard,images added,styled section,,,
sqeven,synchronizing completion at,synchronizing completion at,synchronizing completion at,synchronizing completion at,synchronizing completion at
rjleveque,added tests particles,added geoclaw tests,,,
GarhomLee,12 30 19,12 31 19,,,
zydgbbs,nio,,,,
kmorgan8588,updates post route,,,,
ivanisinvesting,1 1 2020,,,,
hanhau,button and text,,,,
mrhdigital,links highlight works,speech systhesis html,speech systhesis css,speech systhesis css,
jason6833,md,,,,
mandaringit,useactions 커스텀 훅,useactions 사용해보기,hooks vs connect,,
dmontigny,working on web,working on web,,,
lihkg-boy,update 1804377 json,update 1805471 json,update 1805712 json,update 1805816 json,update 1785839 json
JessZuchowski,updated readme,merge pull request,,,
William-Lake,complete,complete,in progress,,
camckin10,adding proper social,creating email message,,,
cameronshinn,added status,status spacing,added logo,update readme md,update readme md
fernandodof,add authentication and,,,,
Alisonhardison,user can now,added tag button,,,
closedsum,wip updating naming,,,,
tumhopaasmere,git cloneshare commit,gas commit 12,gas commit 12,,
crow1796,fix update link,,,,
andrewtdinh,install env cmd,,,,
BhushanVasisht,update definition of,hashing 2 problem3,hashing 2 problem3,,
ssaavvaa,vvfvfvfvf,,,,
web-media,get single route,revert get single,,,
tailaiw,added unit tests,,,,
kunfayakun,git cloneshare commit,git cloneshare commit,git cloneshare commit,,
pawan2014,added a new,,,,
certik,publishing site on,,,,
loreina,bump formik from,bump qrcode from,bump typescript from,bump react from,make min pass
18nguyenl,add touch placement,,,,
ZhongGuiyong,add delete function,optimize the mobile,,,
jasheloper,update readme md,update readme md,update readme md,update readme md,delete jashele__tillman pdf
AugustoCalado,update upper 2,,,,
luizirber,remove draff and,,,,
sramsay,added some more,,,,
AestheticSenpai,update readme md,,,,
turleypol,typo in no,artefact,,,
gitanuj,add icontentprovider to,,,,
Codus1127,meet ups,added content to,merge pull request,merge pull request,media qs
sdale28,messing with h,clean up extraneous,,,
HaydnTrigg,improved mapinfo,,,,
Shresth09,add bg img,update index hbs,css update,,
chadmv,extract colored console,add spaceswitching api,fix menu position,allow explicit pole,
sballgirl11,js types,,,,
TurboTobiasDK,expand ignore,,,,
whitfield-lyx,create meethere项目demo mp4,,,,
ClumsyAdmin,create index html,add files via,,,
ja-brouil,added unit screen,,,,
JRWong1,retrieved calendar events,,,,
uqs,document osversion 1300072,document osversion 1300072,,,
rachelktyjohnson,hammer create phrase,,,,
Spiedie,added rank progression,,,,
steveneale,add coverage config,update coveragerc updated,,,
iphshin,add files via,,,,
euiciowr,update readme md,update readme md,update readme md,update readme md,
mannycortez,added who to,,,,
winny28,automatically backed up,,,,
hasanabs,ke3,,,,
madhuramh184,added readme,,,,
fnando,add a more,add jaunt to,,,
jaredjj3,make getreauthaction more,create getteststore testing,test getreauthaction dispatches,test getreauthaction sets,test getlogoutaction and
TAG-Epic,readme licence and,,,,
Wilba6582,add layouts to,use standard colors,make it more,merge pull request,
huawenyu,update vimplugin,update vimplugin,update vimplugin,,
aavegmit,implemented tracking of,,,,
eladrinwizard1,update readme md,,,,
scob,implement dragging to,implement on scroll,,,
xndcn,3 items update,4 items update,8 items update,,
foozmeat,dont use activitypub,,,,
lm585,add files via,,,,
alisharifara,add files via,update readme md,add files via,update readme md,
xLightling,added subtle shading,added looping scale,,,
wz5mz,create test py,update test py,,,
enigio-timebeat,tb 2020 01,tb 2020 01,,,
apan1121,auto add new,auto add new,,,
Continuities,fix udp packet,,,,
linuswaddell,update master css,update master css,update master css,,
fzqk,update jump2 htm,update jump2 htm,,,
scodingjs,improve colors,,,,
zBash162,update index html,update index html,update index html,update index html,
DenisWASD,update en txt,,,,
skennicutt,added second test,heading test,updated blog headings,,
m5x,added linux surface,,,,
OnshowOnline,update index md,update index md,,,
rothso,insert isqs and,implement full sync,delete unneeded cloud,,
kishorereddy,fix code gen,,,,
guichard,updating index html,,,,
benmccormick,roundup post,updates,,,
dependabot-preview[bot],bump types node,merge pull request,bump types react,bump types node,merge pull request
AstroWedge,add exceptions to,merge pull request,,,
jacob1,fix wild child,,,,
caio-davi,removing unnecessary links,,,,
bwmccray,5 day temps,,,,
Jin0331,jupyter themes,jupyter themes,,,
clr2of8,first draft at,,,,
nicolas15000,revert 4 payer,2 maximizer le,update readme md,,
yoshi-automation,updated google cloud,updated google cloud,,,
a6k5WI,update thetruthaboutracism html,,,,
colebot,auto updates,,,,
zepumph,move jump alerts,move jump alerts,keyboard dialog wording,,
tonyofbyteball,add definition keyword,,,,
choirulihwan,beautify welcome page,,,,
JoseGarciaE,eliminated jquery and,,,,
lingthio,pre font size,pre font size,update sunnyvale md,update sunnyvale md,update sunnyvale md
eyedotteecross,automatically backed up,automatically backed up,automatically backed up,automatically backed up,
bczhc,颜色选择器 手动输入颜色十六进制 add,颜色选择器 手动输入颜色十六进制,颜色选择器 手动输入颜色十六进制 add,merge branch master,delete db image
tthings,revert update terraria,,,,
Mydesire,1 update androidsupport,1 update,,,
LuisLoureiro,new content on,new content on,,,
usernane,update codesnippet php,update codesnippet php,update classuploaderview php,update uploadexampleview php,update uploadlearnview php
bbertolani,fix models,merge pull request,add checkin module,add checkin module,add checkin module
nwtgck,update update vue,,,,
benjamin-t-wilson,fixed missing,,,,
drakata,site v1 pushing,,,,
the-coffee-coder,update index html,,,,
iso88591,ignore files init,ignore files init,,,
ManlyMarco,added modified mcs,,,,
mostaphaRoudsari,update for the,,,,
xombiehamster,placeholders,,,,
skalavala,update blocked_domains json,,,,
choo,change style of,updates,,,
fate0,wed jan 1,,,,
davesque,add parsers for,add parsers for,,,
peterferrie,update notes,,,,
locke-lunarg,aaaa change id,,,,
diharaw,vulkan ray tracing,,,,
ecrespo,generate pelican site,imagenes docker github,cname,generate pelican site,imagen docker de
C5Hackr,update index md,update index md,update index md,update index md,update index md
gabobaCS,added axios functionality,,,,
Lucidreline,refactored the middleware,,,,
TerryHintz,update readme md,,,,
MCayetano,automatically backed up,automatically backed up,,,
MelbourneDeveloper,rename a project,,,,
canihavesomecoffee,update configure_platform,correct indentation again,correct fail,check locally for,
alexbuarque,mais aprendizados,,,,
davidoc85,updated bricklet ir,update readme md,,,
ran-dall,update yate from,update patchwork from,update clashx from,update sejda pdf,update tinderbox from
ccbogel,working on manual,,,,
4342315yc,update common md,updated tabu relavant,,,
Laremere,progress,progress,,,
TokaMohsen,connect add asset,,,,
alloy,definition parser support,package update ts,test fix failure,readme prefer npm,definition parser cleanup
kalicki2k,bump silverstripe framework,merge pull request,bump symfony cache,merge pull request,bump silverstripe framework
mfuadmakarim,setup bootstrap,,,,
xqrzd,update test net,multi target new,,,
46bit,build docker containers,,,,
wolfgangbecker,add feedback messages,add feedback messages,,,
brunoruviaro,implementing custom labels,,,,
allinoneapps,cron update 1,cron update 1,cron update 1,,
fabiomigliorini,upd modelo er,,,,
ericpena,added preface category,fix preface,,,
yanonono,updated at 2020,,,,
CheeseInTheDark,gun power is,,,,
workout-contribution,updated format2 0,update readme md,create 2019 workout,rename 2019 workout,update readme md
DanielBrito,thread da remoção,modificação no swipe,,,
b946c5a0bf547c89,site updated 2020,site updated 2020,site updated 2020,,
LakshBhambhani,basic setup but,,,,
jstac,python_by_example_issue3 844,,,,
stevenandrewwallace,added metadata to,changed version number,test,,
